galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
3000419000000,3000419000095,-1,3000419000000,63000300001514,63000300001514,3000419000000,3000419000001,-1,0,63,0.0,30.897575,14431,34.36115,25.760437,22.163729,58681,3,2,2,-2.181192,-167.65031,-74.57183,411,30.897575,0.10993971,109.93978,128.17194,1.0491029,0.92910016,0.05241036,1.1651711,1.6986363,3.6315026E-4,0.01525415,0.009130985,3.0501327E-4,0.009535315,0.014592118,0.9653098,0.0,43.06129,0.020885412,0.08009431,-19.732794,-20.231,-20.766386,-21.25751,-22.639114,-15.369359,-16.181118,-16.867493,-17.429445,-18.800196,-19.640236,-20.159418,-20.710148,-21.217072,-22.627283,7.183507,167
3000419000001,3000419000095,3000419000000,3000419000001,62000300001538,62000300001538,3000419000000,3000419000002,-1,0,62,0.019932542,30.295116,14431,34.36479,25.790121,22.177414,58681,3,2,2,-2.5079417,-168.09659,-75.35349,412,30.295116,0.10867085,109.496376,129.42561,1.0104496,0.91851884,0.05241036,1.098977,1.7151569,3.6311898E-4,0.014852675,0.0089765955,3.0501327E-4,0.009349703,0.014776693,1.1008595,0.0,43.035976,0.018710643,0.07930795,-19.776451,-20.260931,-20.791058,-21.279602,-22.658375,-15.394626,-16.204727,-16.889894,-17.450668,-18.819685,-19.67536,-20.180595,-20.727085,-21.233282,-22.64473,7.0013337,399
3000419000002,3000419000095,3000419000001,3000419000002,61000300001571,61000300001571,3000419000000,3000419000003,-1,0,61,0.041403063,29.864788,14431,34.36616,25.828691,22.188095,58681,3,2,2,-1.9667256,-167.57697,-75.515465,405,29.864788,0.107553154,109.27935,137.18398,0.9843537,0.90588284,0.05241036,1.0732841,1.7100277,3.6308728E-4,0.014524116,0.008790944,3.0501327E-4,0.009229768,0.014745782,0.96351486,0.0,43.029675,0.019619668,0.07891763,-19.73569,-20.236795,-20.775425,-21.269535,-22.6554,-15.421647,-16.229836,-16.913605,-17.47307,-18.840189,-19.626932,-20.155014,-20.71171,-21.223616,-22.64158,6.8212223,204
3000419000003,3000419000095,3000419000002,3000419000003,60000300001569,60000300001569,3000419000000,3000419000004,-1,0,60,0.064493395,29.348394,14431,34.361305,25.865562,22.19962,58681,3,2,2,-4.0797305,-166.55882,-69.45442,391,29.348394,0.10627481,108.98004,127.826706,0.94899166,0.89434224,0.05241036,1.0164222,1.7298928,3.6305524E-4,0.014110955,0.008620363,3.0501327E-4,0.009053846,0.01489805,1.3007547,0.0,43.00783,0.015972748,0.078017995,-19.828472,-20.299503,-20.826464,-21.313911,-22.689436,-15.45056,-16.256521,-16.938675,-17.496675,-18.862007,-19.663208,-20.17576,-20.729933,-21.243864,-22.66769,6.6195436,602
3000419000004,3000419000095,3000419000003,3000419000004,59000300001571,59000300001571,3000419000000,3000419000005,-1,0,59,0.08928783,28.918066,14431,34.365723,25.904102,22.216742,58681,3,2,2,-1.7317002,-167.81293,-71.46183,403,28.918066,0.10503959,108.812325,127.3922,0.94364005,0.878142,0.05241036,1.010605,1.6881586,3.6302264E-4,0.013889791,0.008381314,3.0501327E-4,0.0091061,0.014453361,0.86439687,0.0,43.015625,0.019896548,0.078236215,-19.67032,-20.197025,-20.74989,-21.251625,-22.64487,-15.481435,-16.284897,-16.965261,-17.521685,-18.885233,-19.567179,-20.120012,-20.689629,-21.207813,-22.631266,6.4395933,453
3000419000005,3000419000095,3000419000004,3000419000005,58000300001569,58000300001569,3000419000000,3000419000006,-1,0,58,0.11588337,28.401672,14431,34.369915,25.952824,22.240725,58681,3,2,2,-5.4273486,-164.24829,-64.78421,392,28.401672,0.10363576,108.564316,127.809746,0.90044373,0.8669829,0.05241036,0.94091475,1.7287686,3.6298973E-4,0.013345594,0.008216814,3.0501327E-4,0.008998744,0.014682095,1.0370182,0.0,42.988224,0.017236393,0.07712404,-19.730955,-20.24168,-20.788364,-21.285782,-22.671919,-15.514192,-16.314875,-16.993217,-17.547876,-18.909426,-19.568697,-20.12515,-20.697592,-21.218689,-22.649122,6.2102623,230
3000419000006,3000419000095,3000419000005,3000419000006,57000300001520,57000300001520,3000419000000,3000419000007,-1,0,57,0.14438343,28.401672,14431,34.369015,26.002005,22.2564,58681,3,2,2,-5.7798405,-164.15623,-63.606606,390,28.401672,0.10279029,109.00989,127.760284,0.8707667,0.8531495,0.05241036,0.976206,1.7411948,3.6295594E-4,0.0128704095,0.008012752,3.0501327E-4,0.009049952,0.014582055,0.91786265,0.0,43.018883,0.0177274,0.0771558,-19.687462,-20.219707,-20.775795,-21.2763,-22.664503,-15.549061,-16.346603,-17.022667,-17.575386,-18.934566,-19.579054,-20.13635,-20.70949,-21.22768,-22.649277,5.987789,218
3000419000007,3000419000095,3000419000006,3000419000007,56000300001541,56000300001541,3000419000000,3000419000008,-1,0,56,0.17489761,28.22954,14431,34.358818,26.042805,22.273125,58681,3,2,2,-7.121292,-164.55911,-61.855423,389,28.22954,0.10166318,109.27983,130.33693,0.8245075,0.84053725,0.05241036,0.96462923,1.786968,3.6292025E-4,0.012280478,0.00782624,3.0501327E-4,0.008957035,0.014787615,0.8431613,0.0,43.023506,0.017463919,0.076310165,-19.676495,-20.225864,-20.789291,-21.29266,-22.690905,-15.585902,-16.379965,-17.05348,-17.604033,-18.960787,-19.56561,-20.141642,-20.722221,-21.243172,-22.674992,5.744974,471
3000419000008,3000419000095,3000419000007,3000419000008,55000300001501,55000300001501,3000419000000,3000419000009,-1,0,55,0.20754863,28.401672,14431,34.348896,26.090624,22.281027,58681,3,2,2,-8.854268,-162.71684,-58.721577,378,28.401672,0.10086813,110.04364,122.089615,0.7651603,0.82863843,0.05241036,0.99464774,1.8620607,3.628827E-4,0.011629702,0.007648111,3.0501327E-4,0.008680656,0.015266644,0.81045413,0.0,43.047237,0.016410133,0.07508083,-19.69664,-20.253244,-20.815231,-21.311975,-22.69494,-15.625854,-16.416145,-17.086958,-17.635323,-18.989647,-19.543026,-20.139454,-20.724047,-21.243238,-22.670713,5.48593,328
3000419000009,3000419000095,3000419000008,3000419000009,54000300001569,54000300001569,3000419000000,3000419000010,-1,0,54,0.24246909,28.832,14431,34.3558,26.142256,22.299812,58681,3,2,2,-5.1682434,-164.79231,-55.395134,351,28.832,0.100283034,111.19714,126.1092,0.69332707,0.8169267,0.05241036,1.0525593,1.9655621,3.628419E-4,0.01103562,0.007467396,3.0501327E-4,0.007997191,0.016108492,0.45963877,0.0,43.06642,0.018927902,0.072492935,-19.68619,-20.272135,-20.839811,-21.340416,-22.750317,-15.670383,-16.45678,-17.12492,-17.670982,-19.02339,-19.601671,-20.20654,-20.787119,-21.30149,-22.73793,5.2148733,787
3000419000010,3000419000095,3000419000009,3000419000010,53000300001552,53000300001552,3000419000000,3000419000011,-1,0,53,0.2798018,27.541016,14431,34.363197,26.192873,22.326744,58681,3,2,2,-5.9542336,-162.11482,-53.484066,350,27.541016,0.097598895,110.16344,124.767746,0.6177741,0.81014544,0.05241036,0.7115558,2.1756012,3.6280547E-4,0.010464005,0.007356119,3.0501327E-4,0.006601145,0.01783052,2.619037,3.6498676E-8,42.829224,0.018535955,0.06380905,-19.931797,-20.438498,-20.956758,-21.424839,-22.779612,-15.71742,-16.499077,-17.164064,-17.707493,-19.05786,-19.852339,-20.374044,-20.904732,-21.386803,-22.768147,4.902545,587
3000419000011,3000419000065,3000419000010,3000419000011,52000300001570,52000300001570,3000419000000,3000419000012,3000419000066,0,52,0.31970343,27.282818,14431,34.3599,26.250656,22.3473,58681,3,2,2,-7.7128353,-159.92078,-50.650787,340,27.282818,0.09603896,110.53272,128.18715,0.78657764,0.72219765,0.003795703,0.7384249,1.9536251,1.9669293E-4,0.011864464,0.0064513246,4.2088254E-6,0.00604071,0.015024615,0.7927601,0.0,42.94066,0.017605945,0.06263903,-19.848606,-20.350027,-20.869993,-21.339592,-22.69719,-13.601165,-14.234852,-14.803279,-15.242079,-16.335356,-19.737934,-20.265608,-20.801971,-21.28848,-22.67964,4.586374,492
3000419000012,3000419000065,3000419000011,3000419000012,51000300001551,51000300001551,3000419000000,3000419000013,-1,0,51,0.36234027,26.508226,14431,34.36502,26.30466,22.3545,58681,3,2,2,-9.005905,-157.56096,-47.84247,331,26.508226,0.09378323,110.25485,125.21875,0.7764534,0.71011543,0.003795703,0.48610026,2.102879,1.9667827E-4,0.011695373,0.006269047,4.2088254E-6,0.0048106355,0.015970152,3.4959793,4.7708795E-4,42.695484,0.018143572,0.053503726,-20.178572,-20.575117,-21.036886,-21.473066,-22.784903,-13.714868,-14.326618,-14.883191,-15.316414,-16.406624,-20.095715,-20.508093,-20.982584,-21.43305,-22.772467,4.295029,150
3000419000013,3000419000045,3000419000012,3000419000013,50000300001519,50000300001519,3000419000000,3000419000014,3000419000046,0,50,0.40789944,26.85249,14431,34.370228,26.369154,22.37245,58683,3,2,2,-8.813912,-156.27013,-45.421227,342,26.85249,0.09274361,111.58871,125.83829,0.97263706,0.6524168,0.0,0.7920189,1.6472659,0.0,0.0133065125,0.0055524968,0.0,0.0058316607,0.011046266,1.292749,0.0,43.098076,0.016370997,0.062191747,-19.868486,-20.33305,-20.844027,-21.307285,-22.65161,99.0,99.0,99.0,99.0,99.0,-19.746286,-20.237278,-20.767153,-21.250534,-22.63353,4.2574277,483
3000419000014,3000419000045,3000419000013,3000419000014,49000300001482,49000300001482,3000419000000,3000419000015,-1,0,49,0.45657724,26.336096,14431,34.368195,26.43368,22.397007,58683,3,2,2,-9.397179,-155.17796,-42.098938,343,26.336096,0.090608865,111.80476,126.3075,0.9429445,0.63231015,0.0,0.7599761,1.6480538,0.0,0.012948926,0.005278022,0.0,0.0055961977,0.010855281,1.288852,0.0,43.090355,0.015973913,0.060655035,-19.87873,-20.347254,-20.858217,-21.318392,-22.659313,99.0,99.0,99.0,99.0,99.0,-19.757622,-20.25177,-20.781498,-21.261843,-22.641487,4.0131207,663
