haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
1000177000000,63000100000689,1000177000070,1000177000000,63,0.0,1000177000001,-1,-1,1000177000000,-1,483,43.377098,34.94266,40.70906,8144,23.977276,35.288784,4.3584137,70528,2,3,0,115.709755,-201.20058,185.46701,72.414856,141.46371,-0.20978057,-0.31591883,0.5084876,4666695,1,689,0.050709713,40
1000177000001,62000100000708,1000177000070,1000177000000,62,0.019932542,1000177000002,-1,1000177000000,1000177000001,-1,460,43.204967,34.5984,40.70906,8144,23.954144,35.325108,4.3244295,70528,2,3,0,118.51566,-204.38171,187.53326,73.74421,140.28053,-0.16864033,-0.70925194,0.30625182,4666443,1,708,0.04638192,189
1000177000002,61000100000701,1000177000070,1000177000000,61,0.041403063,1000177000003,-1,1000177000001,1000177000002,-1,476,43.1189,34.082005,39.848404,8144,23.932356,35.36939,4.282559,70528,2,3,0,116.513115,-205.03455,187.35248,75.284134,144.70302,-0.06882938,-0.52473706,0.5433059,4666443,1,701,0.046402972,911
1000177000003,60000100000691,1000177000070,1000177000000,60,0.064493395,1000177000004,-1,1000177000002,1000177000003,-1,454,42.860703,34.340202,39.245945,8144,23.905958,35.41411,4.233618,70528,2,3,0,117.56392,-209.1604,188.39171,74.884315,146.6134,-0.04452251,-0.6543725,0.19451326,4666714,1,691,0.045186967,983
1000177000004,59000100000647,1000177000070,1000177000000,59,0.08928783,1000177000005,-1,1000177000003,1000177000004,-1,446,42.258244,34.684467,38.55742,8144,23.878698,35.470867,4.191433,70528,2,3,0,115.242966,-210.65596,188.56006,74.25652,140.54904,-0.0075680898,-0.5559086,0.2839373,4666714,1,647,0.04426815,794
1000177000005,58000100000634,1000177000070,1000177000000,58,0.11588337,1000177000006,-1,1000177000004,1000177000005,-1,452,41.483654,34.25414,37.696762,8144,23.844158,35.52285,4.1399417,70528,2,3,0,114.48071,-211.27127,187.2951,70.94088,138.84734,-0.041341793,-0.6315917,0.2904953,4666432,1,634,0.044920865,470
1000177000006,57000100000651,1000177000070,1000177000000,57,0.14438343,1000177000007,-1,1000177000005,1000177000006,-1,443,40.96726,34.082005,37.52463,8144,23.81097,35.579327,4.097859,70528,2,3,0,113.27063,-213.8256,189.58943,72.69359,139.26836,-0.0046743047,-0.6124578,0.32838976,4665874,1,651,0.044377457,611
1000177000007,56000100000674,1000177000070,1000177000000,56,0.17489761,1000177000008,-1,1000177000006,1000177000007,-1,439,40.450867,33.393482,37.868896,8144,23.781635,35.64515,4.0434184,70528,2,3,0,113.08791,-215.07964,191.04962,75.97894,142.87247,-0.19468328,-0.529834,0.2562085,4665874,1,674,0.04133011,375
1000177000008,55000100000666,1000177000070,1000177000000,55,0.20754863,1000177000009,-1,1000177000007,1000177000008,-1,423,39.59021,32.877087,37.094303,8144,23.744896,35.706318,3.9848804,70528,2,3,0,110.61954,-217.15678,186.92012,76.030594,144.21046,-0.27856565,-0.32745433,0.19433181,4665874,1,666,0.038335405,824
1000177000009,54000100000686,1000177000070,1000177000000,54,0.24246909,1000177000010,-1,1000177000008,1000177000009,-1,409,39.245945,33.221348,36.40578,8144,23.711027,35.7793,3.9288132,70528,2,4,0,111.62812,-220.74739,188.23448,76.25962,144.85965,-0.10047149,-0.35332814,0.06601749,4665874,1,686,0.036586203,929
1000177000010,53000100000736,1000177000070,1000177000000,53,0.2798018,1000177000011,-1,1000177000009,1000177000010,-1,409,38.643486,32.877087,35.889385,8143,23.673592,35.856636,3.8668382,70308,2,4,0,109.4228,-221.58046,187.09781,75.03776,141.68329,-0.433182,-0.27705872,0.33161336,4665874,1,736,0.040898357,87
1000177000011,52000100000737,1000177000070,1000177000000,52,0.31970343,1000177000012,-1,1000177000010,1000177000011,-1,411,37.78283,33.135284,35.37299,8143,23.63108,35.934765,3.8032305,70308,2,4,0,106.26713,-222.63863,184.26736,74.05594,141.19647,-0.28013715,-0.40048593,0.21793675,4666691,1,737,0.039442997,532
1000177000012,51000100000715,1000177000070,1000177000000,51,0.36234027,1000177000013,-1,1000177000011,1000177000012,-1,402,37.43857,32.532825,34.42627,8143,23.589252,36.013966,3.7290514,70308,2,4,0,104.98502,-222.09126,182.41118,73.589935,138.41728,-0.30769607,-0.43031693,0.19472067,4666714,1,715,0.040044144,331
1000177000013,50000100000716,1000177000070,1000177000000,50,0.40789944,1000177000014,-1,1000177000012,1000177000013,-1,386,35.803318,31.586102,34.340202,8143,23.55844,36.092503,3.6588142,70308,2,4,0,101.39532,-222.89035,183.68372,76.881584,141.91518,-0.3181655,-0.40244013,0.22259025,4666983,1,716,0.036420587,657
1000177000014,49000100000699,1000177000070,1000177000000,49,0.45657724,1000177000015,-1,1000177000013,1000177000014,-1,384,35.02873,32.102497,34.25414,8143,23.51956,36.18533,3.5894115,70310,2,4,0,101.24985,-225.3297,183.46321,76.38618,143.93604,-0.31839955,-0.38507926,0.25333485,4666461,1,699,0.03733311,103
1000177000015,48000100000718,1000177000070,1000177000000,48,0.5085914,1000177000016,-1,1000177000014,1000177000015,-1,385,35.20086,31.758232,34.42627,8143,23.472322,36.273167,3.5105746,70310,2,4,0,99.9112,-228.51799,182.93561,73.32015,137.55705,-0.07902904,-0.4665055,0.094741,4666442,1,718,0.038645282,412
