haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
7000075000000,63000700000223,7000075000296,7000075000000,63,0.0,7000075000001,-1,-1,7000075000000,7000075000332,3519,318.70117,204.14777,255.44292,28736,1.6228037,23.102333,61.385147,158131,0,2,6,-236.91328,-28.169426,-27.705061,126.869514,227.82727,2.00331,-1.9677787,-1.6340845,17298422,7,223,0.13728264,964
7000075000001,62000700000226,7000075000296,7000075000000,62,0.019932542,7000075000002,-1,7000075000000,7000075000001,7000075000333,3482,297.70117,203.71744,251.65602,28736,1.6675559,23.11404,61.388485,158131,0,2,6,-238.26321,-27.62093,-28.663437,125.27868,223.89087,1.9462696,-2.2478156,-1.5944744,2437842,7,226,0.13584955,625
7000075000002,61000700000226,7000075000296,7000075000000,61,0.041403063,7000075000003,-1,7000075000001,7000075000002,7000075000334,3432,289.26672,206.38548,248.64372,28736,1.7187965,23.113398,61.400124,158131,0,2,6,-234.72105,-20.424671,-21.175135,124.149704,226.44244,3.832243,-1.02532,-3.6458793,17245313,7,226,0.13585046,87
7000075000003,60000700000280,7000075000296,7000075000000,60,0.064493395,7000075000004,-1,7000075000002,7000075000003,7000075000335,3144,281.95114,206.81581,245.28717,28736,1.7720153,23.119598,61.398174,158131,0,2,6,-237.47112,-27.23472,-23.746494,126.38265,223.18419,1.5897267,-1.6100544,-0.9094641,17242388,7,280,0.122304305,441
7000075000004,59000700000243,7000075000225,7000075000000,59,0.08928783,7000075000005,7000075000226,7000075000003,7000075000004,7000075000301,2990,275.3241,205.52483,243.39372,28736,1.8296139,23.115685,61.40753,158131,0,2,6,-235.63216,-27.203537,-19.083508,125.865036,216.7771,0.6487323,-1.5929526,-0.1264192,17245313,7,243,0.120739035,382
7000075000005,58000700000243,7000075000225,7000075000000,58,0.11588337,7000075000006,-1,7000075000004,7000075000005,7000075000227,2879,271.36505,205.26663,244.1683,28736,1.8822064,23.118874,61.41305,158131,0,2,6,-236.97984,-27.177092,-17.473808,125.42473,215.19984,0.85516596,-1.8419509,-0.74230856,17245370,7,243,0.11616894,651
7000075000006,57000700000222,7000075000225,7000075000000,57,0.14438343,7000075000007,-1,7000075000005,7000075000006,7000075000338,3020,269.0413,201.04941,241.50027,28736,1.9505415,23.117252,61.427963,158131,0,2,6,-241.65211,-28.77266,-20.459597,127.87337,220.10472,1.4587121,-1.6818651,-1.2834026,2437842,7,222,0.11612216,161
7000075000007,56000700000254,7000075000201,7000075000000,56,0.17489761,7000075000008,7000075000202,7000075000006,7000075000007,7000075000228,2834,267.40604,195.11087,237.62732,28737,2.0157154,23.116285,61.439884,158138,0,2,6,-240.76532,-25.837894,-22.572563,128.64673,218.68561,1.4512018,-1.4567783,-0.29436764,17245370,7,254,0.11594829,622
7000075000008,55000700000308,7000075000201,7000075000000,55,0.20754863,7000075000009,-1,7000075000007,7000075000008,7000075000305,2807,267.92242,189.77481,233.84042,28737,2.0939548,23.125364,61.447937,158138,0,2,6,-240.78719,-27.959267,-18.712679,131.59167,225.14154,1.1187239,-1.2176808,-0.34776,17245467,7,308,0.10789979,447
7000075000009,54000700000248,7000075000201,7000075000000,54,0.24246909,7000075000010,-1,7000075000008,7000075000009,7000075000203,2894,268.0085,186.41824,236.50847,28737,2.1560917,23.13569,61.437298,158138,0,2,6,-243.496,-26.883947,-20.437857,135.9048,240.70123,1.9068251,-0.89091784,-0.39067742,17245291,7,248,0.11268732,44
7000075000010,53000700000287,7000075000201,7000075000000,53,0.2798018,7000075000011,-1,7000075000009,7000075000010,7000075000230,2795,268.5249,187.79529,235.47568,28737,2.2147055,23.156918,61.422897,158138,0,2,6,-243.87895,-20.045027,-15.615763,124.44014,205.07343,1.5419143,-1.0476687,-0.680284,17245289,7,287,0.12521447,244
7000075000011,52000700000278,7000075000188,7000075000000,52,0.31970343,7000075000012,7000075000189,7000075000010,7000075000011,7000075000231,2767,266.54538,183.75021,240.89781,28737,2.3043916,23.160376,61.409824,158138,0,2,6,-245.28168,-16.812672,-12.07183,122.597984,200.17493,1.4513505,-1.1978769,-0.42140883,2440495,7,278,0.12897742,496
7000075000012,51000700000274,7000075000188,7000075000000,51,0.36234027,7000075000013,-1,7000075000011,7000075000012,7000075000232,2674,256.7339,193.81989,239.4347,28737,2.3890655,23.16726,61.404327,158138,0,2,6,-250.54607,-17.492857,-15.952952,123.628296,201.89165,1.5275594,-0.97992563,-0.2445564,2440495,7,274,0.1231196,885
7000075000013,50000700000251,7000075000188,7000075000000,50,0.40789944,7000075000014,-1,7000075000012,7000075000013,7000075000233,2661,258.28308,199.50023,239.09044,28737,2.4845042,23.182093,61.40099,158138,0,2,6,-250.51514,-21.06546,-22.008112,129.7009,206.59401,1.1053293,-0.86202556,-0.17842634,17242380,7,251,0.11590573,976
7000075000014,49000700000257,7000075000188,7000075000000,49,0.45657724,7000075000015,-1,7000075000013,7000075000014,7000075000234,2387,258.11096,213.44287,246.23389,28737,2.5858176,23.18742,61.414856,158138,0,2,6,-262.0683,-24.830807,-39.380775,137.07922,215.47816,-0.032232985,-1.6211327,0.8381566,17242390,7,257,0.09571234,259
7000075000015,48000700000239,7000075000188,7000075000000,48,0.5085914,7000075000016,-1,7000075000014,7000075000015,7000075000235,2373,252.51668,221.70517,242.79126,28737,2.7045023,23.18696,61.4529,158138,0,2,6,-257.18848,-45.100246,-52.26578,144.00304,228.57399,0.096002325,-1.3678249,0.77628547,17245580,7,239,0.08920856,778
7000075000016,47000700000238,7000075000188,7000075000000,47,0.5641766,7000075000017,-1,7000075000015,7000075000016,7000075000236,2501,249.67651,212.75433,239.60683,28737,2.8302317,23.211403,61.5097,158138,0,2,6,-247.10284,-50.903885,-42.557507,144.30614,228.00723,0.17938231,-1.3952274,0.4523277,17242394,7,238,0.08970989,874
7000075000017,46000700000243,7000075000164,7000075000000,46,0.6235901,7000075000018,7000075000165,7000075000016,7000075000017,7000075000237,2293,236.1642,200.61908,227.47157,28737,2.9389925,23.262821,61.54257,158143,0,2,6,-241.3672,-61.19747,-36.96769,132.59766,210.92955,-0.15761384,-1.4585723,0.57502216,17245289,7,243,0.098784186,725
7000075000018,45000700000230,7000075000129,7000075000000,45,0.6871088,7000075000019,7000075000130,7000075000017,7000075000018,7000075000238,1992,195.36908,162.2338,183.66414,28737,3.039686,23.289759,61.555386,158143,0,2,6,-235.44093,-68.30432,-38.258804,135.40714,215.84789,-0.23642832,-1.3840207,0.32468283,17245593,7,230,0.08108811,605
7000075000019,44000700000267,7000075000129,7000075000000,44,0.75503564,7000075000020,-1,7000075000018,7000075000019,7000075000144,1761,169.29117,150.09853,164.81577,28737,3.1604662,23.341568,61.577045,158143,0,2,6,-230.03928,-77.35388,-37.257427,140.40375,225.74576,-0.33800492,-1.3558935,0.1420154,17245339,7,267,0.06416697,468
7000075000020,43000700000243,7000075000129,7000075000000,43,0.8276991,7000075000021,-1,7000075000019,7000075000020,7000075000167,1617,154.83214,138.1354,151.99197,28737,3.267963,23.388659,61.585743,158143,0,2,6,-214.59914,-84.14737,-37.051006,130.27574,210.87148,0.07721482,-0.7894606,-0.023011757,2437526,7,243,0.0684082,978
7000075000021,42000700000231,7000075000129,7000075000000,42,0.9054624,7000075000022,-1,7000075000020,7000075000021,7000075000168,1490,139.59853,112.401764,134.95097,28732,3.3734405,23.445448,61.59794,159021,0,2,6,-213.30038,-82.649864,-37.194237,125.7065,204.63788,-0.13358139,-0.53771365,0.19779828,17245593,7,231,0.06684098,152
7000075000022,41000700000271,7000075000104,7000075000000,41,0.98870814,7000075000023,7000075000105,7000075000021,7000075000022,7000075000169,1420,117.39358,101.81569,114.72554,28732,3.4791644,23.480484,61.61277,159021,0,2,6,-207.45688,-83.68989,-37.213108,124.50782,205.69238,0.092414364,-0.5279274,0.20332125,17245593,7,271,0.063062206,541
7000075000023,40000700000291,7000075000098,7000075000000,40,1.0778745,7000075000024,7000075000099,7000075000022,7000075000023,-1,1280,113.00423,100.43864,111.627174,28732,3.5928087,23.510902,61.653378,159021,0,2,6,-199.88045,-80.65091,-36.804207,129.33298,210.2404,0.15704174,-0.6597081,0.2416574,2437526,7,291,0.05506317,170
7000075000024,39000700000280,7000075000098,7000075000000,39,1.173417,7000075000025,-1,7000075000023,7000075000024,7000075000114,1275,112.14357,102.332085,111.54111,28732,3.7020214,23.55414,61.6822,159021,0,2,6,-204.3589,-80.289665,-40.389805,134.72377,213.43132,0.039418567,-0.586664,0.19133133,17298379,7,280,0.053079423,328
7000075000025,38000700000268,7000075000098,7000075000000,38,1.2758462,7000075000026,-1,7000075000024,7000075000025,-1,1266,106.63537,98.0288,106.63537,28732,3.8037288,23.577477,61.704716,159021,0,2,6,-200.11932,-76.36304,-38.179016,133.54367,217.42188,-0.06588378,-0.55706424,0.11319929,17298379,7,268,0.05090311,651
7000075000026,37000700000213,7000075000098,7000075000000,37,1.3857181,7000075000027,-1,7000075000025,7000075000026,7000075000115,1249,97.68454,93.29519,98.45913,28709,3.9254131,23.632864,61.736412,159076,0,2,6,-198.97568,-70.31068,-39.813854,127.32738,201.25548,-0.0825894,-0.6795768,0.08843831,2384465,7,213,0.05837565,227
7000075000027,36000700000228,7000075000094,7000075000000,36,1.5036365,7000075000028,7000075000095,7000075000026,7000075000027,7000075000116,1066,88.991905,81.33206,90.28289,28709,4.039282,23.663311,61.792397,159076,0,2,6,-198.20648,-65.9371,-44.67513,122.90125,195.4053,-0.07243827,-0.20439164,-0.03511563,2384465,7,228,0.053835798,826
7000075000028,35000700000231,7000075000062,7000075000000,35,1.6302707,7000075000029,7000075000063,7000075000027,7000075000028,7000075000063,891,89.85256,85.54928,90.36896,28709,4.1319313,23.704514,61.80884,159076,0,2,6,-184.87599,-65.95548,-40.129303,133.48225,198.20728,-0.102917366,-0.5849359,-0.43780264,2384465,7,231,0.042763002,703
7000075000029,34000700000234,7000075000062,7000075000000,34,1.766336,7000075000030,-1,7000075000028,7000075000029,-1,873,82.53698,80.12714,83.31157,28709,4.2111177,23.715418,61.81946,159076,0,2,6,-183.56558,-57.987324,-34.90521,149.95651,234.34818,0.004279558,-0.5152465,-0.46296018,17298378,7,234,0.029687712,87
7000075000030,33000700000215,7000075000062,7000075000000,33,1.9126327,7000075000031,-1,7000075000029,7000075000030,7000075000064,589,64.03286,60.934494,65.323845,28709,4.2482715,23.69932,61.823376,159076,0,2,6,-128.9772,-6.619625,-32.93626,117.21697,194.03769,-0.5853712,-0.18402156,0.052807413,17298375,7,215,0.029415015,589
7000075000031,32000700000210,7000075000062,7000075000000,32,2.0700274,7000075000032,-1,7000075000030,7000075000031,7000075000065,532,45.09841,43.377098,46.217266,28709,4.327252,23.714659,61.83268,159076,0,2,6,-138.30457,-15.782093,-36.21887,111.02223,181.49796,-0.74601793,0.14411071,0.21360818,17245343,7,210,0.030923842,677
7000075000032,31000700000253,7000075000058,7000075000000,31,2.2394855,7000075000033,7000075000059,7000075000031,7000075000032,7000075000059,503,35.803318,35.114796,36.491844,28709,4.383044,23.699402,61.860516,159076,0,2,6,-139.14786,-23.065054,-29.703514,100.928795,174.13554,-0.25115994,-0.1438767,0.12155324,2437530,7,253,0.032449413,447
