galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
6000062000000,6000062000181,-1,6000062000000,63000600000305,63000600000305,6000062000000,6000062000001,-1,0,63,0.0,167.65593,26473,22.9432,32.769665,39.221905,202827,2,3,4,103.43885,77.697,-116.17511,2628,167.65593,0.19319065,193.19078,222.68533,0.3299474,3.472738,0.9961443,23.764114,0.0061287447,0.0060741245,0.00913246,0.040141135,0.008608098,0.14259973,4.5375982E-5,0.0,0.0,0.0,0.015058711,0.09049454,-19.682047,-20.574131,-21.304157,-21.929707,-23.476114,-18.368534,-19.226704,-19.940695,-20.540434,-22.01064,-19.581186,-20.489202,-21.234562,-21.878218,-23.460453,10.435548,601
6000062000001,6000062000181,6000062000000,6000062000001,62000600000304,62000600000304,6000062000000,6000062000002,-1,0,62,0.019932542,165.76248,26473,22.922892,32.75406,39.241413,202827,2,3,4,102.62488,79.56956,-116.29371,2586,165.76248,0.19149214,192.94681,222.66742,0.3299474,3.472738,0.9961443,23.44503,0.006763482,0.006069612,0.00913246,0.040141135,0.008608098,0.14259505,5.0075516E-5,0.0,0.0,0.0,0.018926803,0.09047786,-19.70959,-20.59913,-21.327393,-21.951126,-23.495037,-18.393082,-19.249651,-19.962465,-20.560966,-22.029377,-19.644619,-20.544615,-21.282845,-21.918274,-23.485102,10.172112,664
6000062000002,6000062000181,6000062000001,6000062000002,61000600000301,61000600000301,6000062000000,6000062000003,-1,0,61,0.041403063,166.9674,26473,22.900457,32.739777,39.266647,202827,2,3,4,103.71251,78.92621,-118.04741,2592,166.9674,0.19088885,193.95258,223.30414,0.3299474,3.472738,0.9961443,23.645887,0.0068730386,0.006064823,0.00913246,0.040141135,0.008608098,0.14252752,5.173889E-5,0.0,0.0,0.0,0.017475044,0.08989086,-19.73917,-20.625889,-21.352205,-21.973995,-23.515339,-18.41925,-19.27395,-19.985382,-20.582449,-22.048773,-19.66322,-20.562128,-21.300076,-21.935526,-23.503689,9.89626,619
6000062000003,6000062000181,6000062000002,6000062000003,60000600000227,60000600000227,6000062000000,6000062000004,-1,0,60,0.064493395,168.17232,26473,22.876263,32.72185,39.28834,202827,2,3,4,104.69477,79.37459,-116.79351,2511,168.17232,0.19017513,195.01605,225.09222,0.3299474,3.472738,0.9961443,23.842121,0.006754614,0.0060597053,0.00913246,0.040141135,0.008608098,0.14243644,5.2242336E-5,0.0,0.0,0.0,0.018675808,0.08924791,-19.770775,-20.654352,-21.378523,-21.998226,-23.536959,-18.447119,-19.299673,-20.009542,-20.604982,-22.06907,-19.703905,-20.598282,-21.332724,-21.96446,-23.526749,9.608409,457
6000062000004,6000062000181,6000062000003,6000062000004,59000600000298,59000600000298,6000062000000,6000062000005,-1,0,59,0.08928783,166.02068,26473,22.852623,32.702137,39.314724,202827,2,3,4,105.96783,79.52014,-117.29364,2496,166.02068,0.18808348,194.83893,228.30035,0.3299474,3.472738,0.9961443,23.477856,0.0074587595,0.0060543264,0.00913246,0.040141135,0.008608098,0.14241873,5.789115E-5,0.0,0.0,0.0,0.017742066,0.08915306,-19.80456,-20.684652,-21.40643,-22.023834,-23.559566,-18.476713,-19.32685,-20.034945,-20.628593,-22.090162,-19.730572,-20.622608,-21.355736,-21.986448,-23.548252,9.309087,425
6000062000005,6000062000181,6000062000004,6000062000005,58000600000297,58000600000297,6000062000000,6000062000006,-1,0,58,0.11588337,166.02068,26473,22.824436,32.68581,39.34617,202827,2,3,4,106.053345,79.428185,-118.693565,2551,166.02068,0.18668771,195.56593,220.75768,0.3299474,3.472738,0.9961443,23.56837,0.008411719,0.006048656,0.00913246,0.040141135,0.008608098,0.14220336,6.5288594E-5,0.0,0.0,0.0,0.014590354,0.08868595,-19.840477,-20.716722,-21.435886,-22.050835,-23.583458,-18.507923,-19.355371,-20.0615,-20.65318,-22.112152,-19.732515,-20.625978,-21.361586,-21.995895,-23.56675,8.998835,583
6000062000006,6000062000181,6000062000005,6000062000006,57000600000308,57000600000308,6000062000000,6000062000007,-1,0,57,0.14438343,169.80757,26473,22.7948,32.657192,39.37426,202827,2,3,4,107.825424,80.35258,-120.13602,2479,169.80757,0.18656197,197.8504,221.63527,0.3299474,3.472738,0.9961443,24.215532,0.009537597,0.006042579,0.00913246,0.040141135,0.008608098,0.1421943,7.402918E-5,0.0,0.0,0.0,0.012093622,0.08753157,-19.878717,-20.75064,-21.466852,-22.079021,-23.607843,-18.541105,-19.385553,-20.089516,-20.67913,-22.13548,-19.72459,-20.620653,-21.360086,-21.99979,-23.583584,8.678249,37
6000062000007,6000062000181,6000062000006,6000062000007,56000600000315,56000600000315,6000062000000,6000062000008,-1,0,56,0.17489761,167.39774,26473,22.764006,32.62841,39.400604,202827,2,3,4,104.29849,83.74746,-117.37958,2391,167.39774,0.18401177,197.79802,220.45409,0.3299474,3.472738,0.9961443,23.816133,0.010872722,0.0060361596,0.00913246,0.040141135,0.008608098,0.14218323,8.439445E-5,0.0,0.0,0.0,0.015707167,0.08732499,-19.920105,-20.787298,-21.50034,-22.109617,-23.63465,-18.57629,-19.417477,-20.119083,-20.70649,-22.160252,-19.825932,-20.708336,-21.435795,-22.061977,-23.620205,8.348018,704
6000062000008,6000062000181,6000062000007,6000062000008,55000600000272,55000600000272,6000062000000,6000062000009,-1,0,55,0.20754863,166.7092,26473,22.738544,32.599476,39.438637,202827,2,3,4,106.047295,83.74448,-121.30699,2357,166.7092,0.18195298,198.50441,226.54756,0.3299474,3.472738,0.9961443,23.731901,0.012460453,0.006022967,0.00913246,0.040141135,0.008608098,0.14216948,9.67233E-5,0.0,0.0,0.0,0.013000988,0.08681871,-19.965368,-20.827589,-21.53737,-22.143793,-23.66531,-18.61439,-19.452164,-20.151371,-20.736568,-22.187916,-19.830046,-20.713814,-21.444128,-22.074757,-23.644258,8.0088625,23
6000062000009,6000062000181,6000062000008,6000062000009,54000600000315,54000600000315,6000062000000,6000062000010,-1,0,54,0.24246909,166.36494,26473,22.70385,32.569733,39.470623,202827,2,3,4,105.82635,86.06237,-120.47523,2294,166.36494,0.17986907,199.44476,224.50563,0.3299474,3.472738,0.9961443,23.647478,0.014355766,0.006015955,0.00913246,0.040141135,0.008608098,0.14215158,1.1144338E-4,0.0,0.0,0.0,0.01287276,0.08624606,-20.01567,-20.872814,-21.579323,-22.182938,-23.701777,-18.654884,-19.488909,-20.185522,-20.768282,-22.217241,-19.877266,-20.7565,-21.48401,-22.112371,-23.68026,7.6615715,740
