haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
5000060000000,63000500000279,5000060000285,5000060000000,63,0.0,5000060000001,-1,-1,5000060000000,5000060000521,10498,1159.9932,780.4435,966.5175,21885,51.850475,55.070663,34.961464,242789,5,6,3,-84.42471,203.3489,-128.08525,195.79796,310.62503,5.5314217,2.2871137,7.0940423,13083169,5,279,0.20346561,824
5000060000001,62000500000314,5000060000285,5000060000000,62,0.019932542,5000060000002,-1,5000060000000,5000060000001,5000060000522,10218,1114.7225,807.3821,965.31256,21885,51.87111,55.034355,34.985207,242789,5,6,3,-88.11091,208.42198,-132.00761,205.48569,322.9346,6.6256447,2.1304166,6.450942,13083197,5,314,0.18440303,988
5000060000002,61000500000266,5000060000285,5000060000000,61,0.041403063,5000060000003,-1,5000060000001,5000060000002,5000060000523,9816,1036.9192,837.6772,960.4929,21885,51.896503,54.99187,35.00681,242789,5,6,3,-93.05524,219.66246,-135.08519,214.55507,331.0004,6.855914,2.3396227,5.966161,13083197,5,266,0.16850118,819
5000060000003,60000500000285,5000060000285,5000060000000,60,0.064493395,5000060000004,-1,5000060000002,5000060000003,5000060000289,9300,1016.43555,852.2223,951.7142,21885,51.921074,54.93314,35.03024,242789,5,6,3,-100.7709,228.60579,-139.63132,225.18967,337.0092,6.696948,1.9447584,4.947382,13083363,5,285,0.15230548,644
5000060000004,59000500000275,5000060000272,5000060000000,59,0.08928783,5000060000005,5000060000273,5000060000003,5000060000004,5000060000684,9472,1000.25525,838.8821,941.81665,21885,51.97006,54.857803,35.06478,242789,5,6,3,-100.64598,224.81433,-141.91313,239.73505,361.3478,6.1455064,1.9158231,5.5501366,13083197,5,275,0.13516827,708
5000060000005,58000500000276,5000060000235,5000060000000,58,0.11588337,5000060000006,5000060000236,5000060000004,5000060000005,5000060000685,9491,982.61176,804.5419,921.333,21885,52.042114,54.77402,35.10473,242789,5,6,3,-85.39448,218.4664,-143.88275,237.41191,363.89343,5.9965825,2.8274946,6.2563887,13083623,5,276,0.13374494,123
5000060000006,57000500000252,5000060000235,5000060000000,57,0.14438343,5000060000007,-1,5000060000005,5000060000006,5000060000292,8659,947.4109,732.93524,875.80426,21789,52.101276,54.66277,35.171574,242131,5,6,3,-96.87581,233.77908,-161.5223,206.59633,312.16736,5.809741,2.608596,5.088312,13083164,5,252,0.1648601,264
5000060000007,56000500000253,5000060000235,5000060000000,56,0.17489761,5000060000008,-1,5000060000006,5000060000007,5000060000293,7874,896.46,507.185,792.4066,21789,52.14501,54.55305,35.243076,242131,5,6,3,-103.605934,248.2339,-175.64134,186.01065,288.76376,6.0306053,2.9957674,5.0522714,13083112,5,253,0.18032475,378
5000060000008,55000500000256,5000060000235,5000060000000,55,0.20754863,5000060000009,-1,5000060000007,5000060000008,5000060000294,7246,777.60333,397.19308,553.91864,21789,52.17999,54.43923,35.31949,242131,5,6,3,-100.766594,248.39531,-187.40169,172.86232,283.49796,4.4545197,3.0183704,4.3197126,13055250,5,256,0.18203025,635
5000060000009,54000500000247,5000060000235,5000060000000,54,0.24246909,5000060000010,-1,5000060000008,5000060000009,5000060000295,6951,568.80804,367.7586,457.2669,21789,52.220844,54.330177,35.39548,242131,5,6,3,-100.49425,250.80861,-187.88664,166.58505,282.49106,5.023681,2.4920895,3.7986295,13055290,5,247,0.17893289,166
5000060000010,53000500000252,5000060000208,5000060000000,53,0.2798018,5000060000011,5000060000209,5000060000009,5000060000010,5000060000296,6407,493.6727,363.36926,435.57837,21789,52.258297,54.23266,35.478783,242131,5,6,3,-99.518684,256.4234,-195.15977,160.76689,282.8497,4.8634324,2.1285486,1.3129017,13083591,5,252,0.16062316,364
