haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
4003302000000,63000400004066,4003302000010,4003302000000,63,0.0,4003302000001,-1,-1,4003302000000,-1,20,1.2049193,0.60245967,1.2049193,18778,45.62942,23.579323,57.61762,192108,5,2,6,-39.53218,-101.32753,131.93915,20.485949,34.11904,-0.10921914,0.1347658,0.24382156,12148693,4,4066,0.04062155,681
4003302000001,62000400004066,4003302000010,4003302000000,62,0.019932542,4003302000002,-1,4003302000000,4003302000001,-1,20,1.7213135,1.1188537,1.2049193,18778,45.655823,23.591234,57.58803,192104,5,2,6,-40.187317,-102.21807,132.67062,20.515188,41.4444,-0.10847216,0.13624531,0.24221848,12148698,4,4066,0.024271766,935
4003302000002,61000400003949,4003302000010,4003302000000,61,0.041403063,4003302000003,-1,4003302000001,4003302000002,-1,21,1.6352477,1.1188537,1.2909851,18778,45.66595,23.62327,57.561264,192104,5,2,6,-40.72233,-102.45107,132.33531,21.151127,43.91909,-0.071867384,0.113108486,0.22096811,12148698,4,3949,0.023827506,564
4003302000003,60000400003712,4003302000010,4003302000000,60,0.064493395,4003302000004,-1,4003302000002,4003302000003,-1,23,1.549182,1.1188537,1.2049193,18778,45.670406,23.642824,57.529823,192104,5,2,6,-42.588104,-102.57535,130.87607,20.67898,41.36292,-0.103950016,-0.006249505,0.17497459,12148698,4,3712,0.025961442,547
4003302000004,59000400004017,4003302000010,4003302000000,59,0.08928783,4003302000005,-1,4003302000003,4003302000004,-1,21,1.549182,1.3770508,1.3770508,18778,45.684834,23.667253,57.48742,192104,5,2,6,-42.628754,-104.34502,132.938,21.170797,40.00521,-0.07359853,0.12748739,0.22419594,12148705,4,4017,0.02544072,569
4003302000005,58000400003766,4003302000010,4003302000000,58,0.11588337,4003302000006,-1,4003302000004,4003302000005,-1,24,1.549182,1.2049193,1.549182,18778,45.707447,23.691332,57.446224,192104,5,2,6,-42.94698,-101.369095,128.9099,21.984228,41.500473,-0.09908071,0.016280552,0.19281423,12148767,4,3766,0.027938759,869
4003302000006,57000400003823,4003302000010,4003302000000,57,0.14438343,4003302000007,-1,4003302000005,4003302000006,-1,24,1.549182,0.6885254,1.2049193,18778,45.705856,23.711353,57.40508,192104,5,2,6,-43.763924,-102.17906,129.58289,20.530756,36.402378,-0.099824496,0.018397331,0.19301115,12148757,4,3823,0.036312297,327
4003302000007,56000400003816,4003302000010,4003302000000,56,0.17489761,4003302000008,-1,4003302000006,4003302000007,-1,24,1.549182,1.1188537,1.2909851,18778,45.711765,23.74721,57.385254,192104,5,2,6,-44.506184,-103.03616,130.2082,19.370016,37.351593,-0.10063289,0.014989987,0.19291069,12148705,4,3816,0.034490146,240
4003302000008,55000400003841,4003302000010,4003302000000,55,0.20754863,4003302000009,-1,4003302000007,4003302000008,-1,24,1.3770508,0.0,0.9467224,18778,45.74111,23.81319,57.348682,192104,5,2,6,-45.251965,-103.00981,129.66895,18.743803,34.460518,-0.100694105,0.015991373,0.19413508,12148761,4,3841,0.045081496,719
4003302000009,54000400003837,4003302000010,4003302000000,54,0.24246909,4003302000010,-1,4003302000008,4003302000009,-1,24,1.2049193,1.1188537,1.1188537,18778,45.764297,23.84335,57.2965,192104,5,2,6,-46.160927,-103.956024,130.49852,18.065372,38.517696,-0.09690536,0.015284775,0.19309181,12148705,4,3837,0.032433413,978
4003302000010,53000400004333,4003302000010,4003302000000,53,0.2798018,-1,-1,4003302000009,4003302000010,-1,20,0.9467224,0.516394,0.6885254,18778,45.789658,23.856586,57.225285,192104,5,2,6,-45.87666,-105.28768,132.7558,18.85456,32.013844,-0.08363118,0.20782937,0.31155252,12148693,4,4333,0.039727107,247
haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
4003302000000,63000400004066,4003302000010,4003302000000,63,0.0,4003302000001,-1,-1,4003302000000,-1,20,1.2049193,0.60245967,1.2049193,18778,45.62942,23.579323,57.61762,192108,5,2,6,-39.53218,-101.32753,131.93915,20.485949,34.11904,-0.10921914,0.1347658,0.24382156,12148693,4,4066,0.04062155,681
4003302000001,62000400004066,4003302000010,4003302000000,62,0.019932542,4003302000002,-1,4003302000000,4003302000001,-1,20,1.7213135,1.1188537,1.2049193,18778,45.655823,23.591234,57.58803,192104,5,2,6,-40.187317,-102.21807,132.67062,20.515188,41.4444,-0.10847216,0.13624531,0.24221848,12148698,4,4066,0.024271766,935
4003302000002,61000400003949,4003302000010,4003302000000,61,0.041403063,4003302000003,-1,4003302000001,4003302000002,-1,21,1.6352477,1.1188537,1.2909851,18778,45.66595,23.62327,57.561264,192104,5,2,6,-40.72233,-102.45107,132.33531,21.151127,43.91909,-0.071867384,0.113108486,0.22096811,12148698,4,3949,0.023827506,564
4003302000003,60000400003712,4003302000010,4003302000000,60,0.064493395,4003302000004,-1,4003302000002,4003302000003,-1,23,1.549182,1.1188537,1.2049193,18778,45.670406,23.642824,57.529823,192104,5,2,6,-42.588104,-102.57535,130.87607,20.67898,41.36292,-0.103950016,-0.006249505,0.17497459,12148698,4,3712,0.025961442,547
4003302000004,59000400004017,4003302000010,4003302000000,59,0.08928783,4003302000005,-1,4003302000003,4003302000004,-1,21,1.549182,1.3770508,1.3770508,18778,45.684834,23.667253,57.48742,192104,5,2,6,-42.628754,-104.34502,132.938,21.170797,40.00521,-0.07359853,0.12748739,0.22419594,12148705,4,4017,0.02544072,569
4003302000005,58000400003766,4003302000010,4003302000000,58,0.11588337,4003302000006,-1,4003302000004,4003302000005,-1,24,1.549182,1.2049193,1.549182,18778,45.707447,23.691332,57.446224,192104,5,2,6,-42.94698,-101.369095,128.9099,21.984228,41.500473,-0.09908071,0.016280552,0.19281423,12148767,4,3766,0.027938759,869
4003302000006,57000400003823,4003302000010,4003302000000,57,0.14438343,4003302000007,-1,4003302000005,4003302000006,-1,24,1.549182,0.6885254,1.2049193,18778,45.705856,23.711353,57.40508,192104,5,2,6,-43.763924,-102.17906,129.58289,20.530756,36.402378,-0.099824496,0.018397331,0.19301115,12148757,4,3823,0.036312297,327
4003302000007,56000400003816,4003302000010,4003302000000,56,0.17489761,4003302000008,-1,4003302000006,4003302000007,-1,24,1.549182,1.1188537,1.2909851,18778,45.711765,23.74721,57.385254,192104,5,2,6,-44.506184,-103.03616,130.2082,19.370016,37.351593,-0.10063289,0.014989987,0.19291069,12148705,4,3816,0.034490146,240
4003302000008,55000400003841,4003302000010,4003302000000,55,0.20754863,4003302000009,-1,4003302000007,4003302000008,-1,24,1.3770508,0.0,0.9467224,18778,45.74111,23.81319,57.348682,192104,5,2,6,-45.251965,-103.00981,129.66895,18.743803,34.460518,-0.100694105,0.015991373,0.19413508,12148761,4,3841,0.045081496,719
4003302000009,54000400003837,4003302000010,4003302000000,54,0.24246909,4003302000010,-1,4003302000008,4003302000009,-1,24,1.2049193,1.1188537,1.1188537,18778,45.764297,23.84335,57.2965,192104,5,2,6,-46.160927,-103.956024,130.49852,18.065372,38.517696,-0.09690536,0.015284775,0.19309181,12148705,4,3837,0.032433413,978
4003302000010,53000400004333,4003302000010,4003302000000,53,0.2798018,-1,-1,4003302000009,4003302000010,-1,20,0.9467224,0.516394,0.6885254,18778,45.789658,23.856586,57.225285,192104,5,2,6,-45.87666,-105.28768,132.7558,18.85456,32.013844,-0.08363118,0.20782937,0.31155252,12148693,4,4333,0.039727107,247
