galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
3047000000,3047000013,-1,3047000000,63000000003898,63000000003898,3047000000,3047000001,-1,0,63,0.0,0.6885254,2110,29.50646,17.434439,9.978997,14954,3,1,1,291.3283,174.50656,194.84334,23,0.6885254,0.030937588,30.937607,39.317604,0.03284905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006309173,0.030937588,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,488
3047000001,3047000013,3047000000,3047000001,62000000003901,62000000003901,3047000000,3047000002,-1,0,62,0.019932542,0.516394,2110,29.432352,17.356743,9.9446535,14954,3,1,1,292.57187,175.85345,196.18507,23,0.516394,0.027967218,28.179672,36.08772,0.03284905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069292556,0.027967218,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,605
3047000002,3047000013,3047000001,3047000002,61000000003942,61000000003942,3047000000,3047000003,-1,0,61,0.041403063,0.86065674,2110,29.369246,17.317472,9.907758,14954,3,1,1,292.4411,176.49062,196.70651,23,0.86065674,0.032974634,33.50387,36.36435,0.03284905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005904402,0.032974634,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,625
3047000003,3047000013,3047000002,3047000003,60000000003959,60000000003959,3047000000,3047000004,-1,0,60,0.064493395,1.032788,2109,29.296858,17.275936,9.862474,14947,3,1,1,292.59583,177.42485,197.47905,23,1.032788,0.03482619,35.712692,36.641006,0.03284905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055587864,0.03482619,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,93
3047000004,3047000013,3047000003,3047000004,59000000003968,59000000003968,3047000000,3047000005,-1,0,59,0.08928783,1.1188537,2109,29.224138,17.233736,9.816865,14947,3,1,1,293.03705,178.34596,198.31393,23,1.1188537,0.03552666,36.802677,39.571392,0.032787796,0.0,0.0,0.0038129385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.34548,0.0054424764,0.009237279,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,374
3047000005,3047000013,3047000004,3047000005,58000000003989,58000000003989,3047000000,3047000006,-1,0,58,0.11588337,1.1188537,2109,29.15235,17.192366,9.769893,14947,3,1,1,290.4061,177.88672,197.26762,23,1.1188537,0.035263013,36.940002,47.077183,0.03251269,0.0,0.0,0.0045850854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.56583,0.005425001,0.010799084,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,910
3047000006,3047000013,3047000005,3047000006,57000000004000,57000000004000,3047000000,3047000007,-1,0,57,0.14438343,1.2909851,2108,29.069235,17.150475,9.722559,14919,3,1,1,290.99838,179.2028,198.49039,23,1.2909851,0.0366841,38.903767,46.419724,0.030917522,0.0,0.0,0.020643916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.492626,0.0052308,0.02122342,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,778
3047000007,3047000013,3047000006,3047000007,56000000004018,56000000004018,3047000000,3047000008,-1,0,56,0.17489761,1.3770508,2108,28.984623,17.096745,9.672437,14919,3,1,1,291.99115,180.52512,199.73643,23,1.3770508,0.037146028,39.929028,40.28665,0.026218386,0.0,0.0,0.03372972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.810448,0.0051637692,0.026910817,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,988
3047000008,3047000013,3047000007,3047000008,55000000004159,55000000004159,3047000000,3047000009,-1,0,55,0.20754863,1.1188537,2108,28.896973,17.045612,9.611247,14919,3,1,1,291.37598,180.58563,198.75613,22,1.1188537,0.0343213,37.44335,40.51659,0.021781038,0.0,0.0,0.017061928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.390167,0.008738095,0.019448936,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,37
3047000009,3047000013,3047000008,3047000009,54000000004150,54000000004150,3047000000,3047000010,-1,0,54,0.24246909,1.2909851,2108,28.805115,16.993784,9.543227,14919,3,1,1,292.34393,182.54561,200.46399,22,1.2909851,0.035610355,39.485935,40.605785,0.01627189,0.0,0.0,0.03765418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.896225,0.008277942,0.027972236,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,991
3047000010,3047000013,3047000009,3047000010,53000000004166,53000000004166,3047000000,3047000011,-1,0,53,0.2798018,0.9467224,2108,28.714094,16.948414,9.47213,14919,3,1,1,290.20352,183.28801,199.82399,22,0.9467224,0.03173407,35.81941,39.024513,0.010776311,0.0,0.0,0.016758833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.35662,0.00646625,0.019723974,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,698
3047000011,3047000013,3047000010,3047000011,52000000004261,52000000004261,3047000000,3047000012,-1,0,52,0.31970343,0.60245967,2108,28.614183,16.889397,9.400536,14919,3,1,1,287.68546,184.2518,199.32423,21,0.60245967,0.026943894,31.010143,36.70906,0.009503959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060356176,0.026943894,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,654
3047000012,3047000013,3047000011,3047000012,51000000004427,51000000004427,3047000000,3047000013,-1,0,51,0.36234027,0.516394,2108,28.518728,16.8236,9.320053,14919,3,1,1,287.4078,185.6919,199.14813,20,0.516394,0.025234343,29.66638,35.99671,0.009503959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010714637,0.025234343,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,760
3047000013,3047000013,3047000012,3047000013,50000000004361,50000000004361,3047000000,-1,-1,0,50,0.40789944,0.60245967,2108,28.413528,16.749899,9.242482,14919,3,1,1,284.055,184.2149,199.11401,21,0.60245967,0.026157634,31.472752,35.154922,9.5310475E-4,0.0,0.0,0.008725367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0969,0.005980638,0.020820037,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,171
