galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
4002307000000,4002307000017,-1,4002307000000,63000400003044,63000400003044,4002307000000,4002307000001,-1,0,63,0.0,0.60245967,17323,54.078777,2.22503,34.187656,168061,6,0,3,132.80885,57.028595,-214.21101,30,0.60245967,0.029590737,29.590757,35.30016,0.042273954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010469867,0.029590737,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,595
4002307000001,4002307000017,4002307000000,4002307000001,62000400002979,62000400002979,4002307000000,4002307000002,-1,0,62,0.019932542,0.6885254,17323,54.054825,2.2163541,34.23507,168061,6,0,3,133.57909,56.009087,-215.22943,31,0.6885254,0.030781908,31.015743,35.85945,0.042273954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013076824,0.030781908,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,738
4002307000002,4002307000017,4002307000001,4002307000002,61000400002826,61000400002826,4002307000000,4002307000003,-1,0,61,0.041403063,0.9467224,17323,54.05897,2.1764083,34.297302,168061,6,0,3,134.957,55.420654,-213.6345,35,0.9467224,0.034039058,34.585377,37.759518,0.042273954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013307489,0.034039058,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,405
4002307000003,4002307000017,4002307000002,4002307000003,60000400002812,60000400002812,4002307000000,4002307000004,-1,0,60,0.064493395,1.1188537,17323,54.023952,2.169708,34.339188,168061,6,0,3,134.10811,52.918434,-214.43523,35,1.1188537,0.03576789,36.678364,38.10667,0.042273954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012218862,0.03576789,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,659
4002307000004,4002307000017,4002307000003,4002307000004,59000400002845,59000400002845,4002307000000,4002307000005,-1,0,59,0.08928783,0.774591,17323,53.98479,2.1404905,34.38807,168061,6,0,3,132.29257,49.577045,-216.63974,34,0.774591,0.031428292,32.557106,38.6075,0.042273954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015258812,0.031428292,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,547
4002307000005,4002307000017,4002307000004,4002307000005,58000400002857,58000400002857,4002307000000,4002307000006,-1,0,58,0.11588337,1.2049193,17323,53.946205,2.1485007,34.440777,168061,6,0,3,129.49948,45.540646,-215.74239,34,1.2049193,0.036144953,37.86388,41.829735,0.042269412,0.0,0.0,0.0015053812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.133076,0.012650393,0.0075914934,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,983
4002307000006,4002307000017,4002307000005,4002307000006,56000400002950,56000400002950,4002307000000,4002307000007,-1,0,56,0.17489761,1.4631164,17323,53.88239,2.1305814,34.568115,168061,6,0,3,128.41649,41.384514,-216.64117,33,1.4631164,0.03790432,40.74413,43.762226,0.037840765,0.0,0.0,0.030139148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.756756,0.012852361,0.026245223,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,930
4002307000007,4002307000017,4002307000006,4002307000007,55000400003160,55000400003160,4002307000000,4002307000008,-1,0,55,0.20754863,1.2049193,17323,53.838223,2.1112158,34.619392,168061,6,0,3,126.38125,38.286976,-213.8572,30,1.2049193,0.03517969,38.37982,43.65863,0.034501333,0.0,0.0,0.011242217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.12421,0.017227849,0.015753714,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,910
4002307000008,4002307000017,4002307000007,4002307000008,54000400003104,54000400003104,4002307000000,4002307000009,-1,0,54,0.24246909,1.2909851,17323,53.801186,2.1053271,34.69698,168061,6,0,3,125.66217,34.871174,-213.689,32,1.2909851,0.035610355,39.485935,45.886993,0.03195034,0.0,0.0,0.021975726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.546288,0.01611527,0.021383584,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,260
4002307000009,4002307000017,4002307000008,4002307000009,53000400003017,53000400003017,4002307000000,4002307000010,-1,0,53,0.2798018,1.1188537,17323,53.772972,2.0934927,34.764904,168061,6,0,3,121.24006,30.120874,-212.42033,33,1.1188537,0.0335513,37.87058,42.887074,0.029399792,0.0,0.0,0.0108537935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.103947,0.019001445,0.015216679,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,9
