haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
5001684000000,63000500002459,5001684000035,5001684000000,63,0.0,5001684000001,-1,-1,5001684000000,-1,53,4.733612,4.131152,4.4754148,21063,62.49224,57.06318,61.999195,262013,6,6,6,-226.10156,-159.28989,100.46083,31.514673,66.19016,-0.14900737,0.025214804,0.12643722,16846648,5,2459,0.031538162,250
5001684000001,62000500002455,5001684000035,5001684000000,62,0.019932542,5001684000002,-1,5001684000000,5001684000001,-1,53,4.6475463,4.131152,4.3893495,28088,0.0381769,57.08889,61.982018,224564,0,6,6,-227.48395,-161.38478,101.58155,32.963898,64.979774,-0.15027022,0.024621967,0.12891313,16846648,5,2455,0.02876474,195
5001684000002,61000600001755,5001684000035,5001684000000,61,0.041403063,5001684000003,-1,5001684000001,5001684000002,-1,53,4.5614805,4.3032837,4.3893495,28088,0.08628219,57.121418,61.959053,224564,0,6,6,-227.98448,-163.8145,102.15039,34.950764,69.06141,-0.1399223,0.013257944,0.13867359,16846648,6,1755,0.024013437,822
5001684000003,60000600001736,5001684000035,5001684000000,60,0.064493395,5001684000004,-1,5001684000002,5001684000003,-1,52,4.5614805,4.3032837,4.5614805,28088,0.13146177,57.157433,61.933167,224564,0,6,6,-227.87439,-165.32097,102.050064,37.924007,78.02054,-0.06874121,-0.0033138986,0.17847423,16846908,6,1736,0.026659895,30
5001684000004,59000600001806,5001684000035,5001684000000,59,0.08928783,5001684000005,-1,5001684000003,5001684000004,-1,52,4.6475463,4.131152,4.4754148,28088,0.18112355,57.198128,61.910027,224564,0,6,6,-228.21017,-167.28143,102.84623,34.280663,70.44721,-0.06945317,-0.0020884115,0.17833354,16846908,6,1806,0.025022518,658
5001684000005,58000600001693,5001684000035,5001684000000,58,0.11588337,5001684000006,-1,5001684000004,5001684000005,-1,58,4.733612,4.131152,4.6475463,28088,0.24019222,57.243164,61.88522,224564,0,6,6,-225.25491,-167.42355,103.86919,32.486103,62.661983,-0.065073535,-0.0076165334,0.20436415,16846908,6,1693,0.032082696,847
5001684000006,57000600001652,5001684000035,5001684000000,57,0.14438343,5001684000007,-1,5001684000005,5001684000006,-1,60,4.8196774,4.0450864,4.6475463,28088,0.3021157,57.288136,61.85988,224564,0,6,6,-225.76462,-169.34856,104.51487,32.206337,62.871937,-0.069887765,0.013688142,0.20365724,16846908,6,1652,0.03106553,789
5001684000007,56000600001664,5001684000035,5001684000000,56,0.17489761,5001684000008,-1,5001684000006,5001684000007,-1,60,4.991809,3.7868896,4.6475463,28088,0.37205976,57.32973,61.83013,224564,0,6,6,-226.2291,-171.0792,105.43691,33.471214,68.83139,-0.06556005,0.01702876,0.20447367,16846648,6,1664,0.030330792,853
5001684000008,55000600001739,5001684000035,5001684000000,55,0.20754863,5001684000009,-1,5001684000007,5001684000008,-1,55,4.733612,3.7868896,4.3032837,28088,0.43998092,57.383953,61.80232,224564,0,6,6,-223.56479,-171.76508,104.3276,35.48277,74.680626,-0.10608054,-0.035957567,0.23411746,16846648,6,1739,0.024526034,728
5001684000009,54000600001825,5001684000035,5001684000000,54,0.24246909,5001684000010,-1,5001684000008,5001684000009,-1,53,4.6475463,3.8729553,4.3032837,28088,0.506163,57.43828,61.7631,224564,0,6,6,-223.85913,-173.51112,106.74143,36.384327,70.93113,-0.120072946,-0.016640777,0.21324362,16846648,6,1825,0.023801183,319
5001684000010,53000600001786,5001684000035,5001684000000,53,0.2798018,5001684000011,-1,5001684000009,5001684000010,-1,54,4.4754148,3.8729553,4.3032837,28088,0.5865304,57.49843,61.72568,224564,0,6,6,-222.68982,-174.4407,106.62909,34.751995,67.10387,-0.11424211,-0.121667005,0.23010786,16846648,6,1786,0.023966566,513
5001684000011,52000600001807,5001684000035,5001684000000,52,0.31970343,5001684000012,-1,5001684000010,5001684000011,-1,53,4.3893495,3.7868896,4.217218,28088,0.6655109,57.560043,61.68606,224564,0,6,6,-221.28351,-174.12672,106.62163,33.54548,68.24167,-0.12264755,-0.17864081,0.2816044,16846648,6,1807,0.02694712,828
5001684000012,51000600001869,5001684000035,5001684000000,51,0.36234027,5001684000013,-1,5001684000011,5001684000012,-1,50,4.3893495,3.6147583,4.131152,28088,0.7434612,57.630177,61.65251,224566,0,6,6,-219.59296,-177.00351,104.89032,30.06276,60.320427,-0.10509761,-0.13010405,0.20074725,16846644,6,1869,0.028682215,159
