haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
4000021000000,63000400000155,4000021000959,4000021000000,63,0.0,4000021000001,-1,-1,4000021000000,4000021000960,14532,1463.4607,960.1486,1234.526,17075,58.704704,2.2721455,44.819973,170836,6,0,5,148.44073,-69.5718,-280.00372,211.9081,361.05942,0.32719618,5.268166,10.695026,11906335,4,155,0.20691729,679
4000021000001,62000400000155,4000021000959,4000021000000,62,0.019932542,4000021000002,-1,4000021000000,4000021000001,4000021000961,15023,1483.0836,982.87,1263.7023,17075,58.700306,2.2817228,44.86674,170836,6,0,5,150.2966,-65.72071,-280.03964,212.91432,353.51074,0.1759664,5.8466077,10.753523,11892028,4,155,0.22308531,711
4000021000002,61000400000153,4000021000958,4000021000000,61,0.041403063,4000021000003,4000021000959,4000021000001,4000021000002,4000021000962,15183,1494.1001,1006.7962,1303.5507,17072,58.6891,2.2805066,44.922386,170864,6,0,5,153.38568,-65.54748,-278.32233,214.55186,350.58832,-0.04906572,5.600363,11.048624,11892034,4,153,0.22921214,92
4000021000003,60000400000149,4000021000844,4000021000000,60,0.064493395,4000021000004,4000021000845,4000021000002,4000021000003,4000021000963,15207,1505.5468,1042.6855,1336.3417,17072,58.6751,2.2734976,44.987083,170864,6,0,5,158.36786,-70.61617,-275.732,216.56235,350.51318,-0.16216044,5.040236,11.313658,11898770,4,149,0.22934625,94
4000021000004,59000400000158,4000021000799,4000021000000,59,0.08928783,4000021000005,4000021000800,4000021000003,4000021000004,4000021000964,14982,1500.2968,1078.7471,1371.1982,17072,58.64763,2.2750316,45.05665,170864,6,0,5,159.52235,-76.029205,-273.24847,220.65628,355.80414,-0.104497984,4.643149,11.21566,11892006,4,158,0.21958019,691
4000021000005,58000400000150,4000021000799,4000021000000,58,0.11588337,4000021000006,-1,4000021000004,4000021000005,4000021000965,14676,1499.6083,1124.1038,1375.7598,17072,58.609573,2.2877002,45.130733,170864,6,0,5,162.40544,-78.573814,-270.45663,230.24722,364.19446,-0.11195852,4.1343975,11.209434,11906335,4,150,0.20492972,435
4000021000006,57000400000158,4000021000798,4000021000000,57,0.14438343,4000021000007,4000021000799,4000021000005,4000021000006,4000021000966,14256,1478.5222,1208.7063,1403.645,17071,58.55168,2.2944098,45.204926,170809,6,0,5,168.2339,-81.09867,-272.98145,242.37434,378.35052,-0.2362792,3.8171353,11.016559,11891727,4,158,0.18816023,785
4000021000007,56000400000159,4000021000798,4000021000000,56,0.17489761,4000021000008,-1,4000021000006,4000021000007,4000021000967,13839,1441.6,1283.7555,1384.1942,17071,58.46523,2.322986,45.289177,170809,6,0,5,170.04837,-82.00125,-272.16223,253.23769,393.78403,0.15467612,3.3115594,10.59562,11898868,4,159,0.17372847,161
4000021000008,55000400000160,4000021000746,4000021000000,55,0.20754863,4000021000009,4000021000747,4000021000007,4000021000008,4000021001218,12724,1401.8376,1252.4276,1351.9196,17071,58.369293,2.3862855,45.37218,170809,6,0,5,183.9595,-100.77271,-267.38687,268.00775,391.20688,-0.052905787,2.6572533,10.360886,11892014,4,160,0.15450364,94
4000021000009,54000400000162,4000021000680,4000021000000,54,0.24246909,4000021000010,4000021000681,4000021000008,4000021000009,4000021000969,13081,1357.6859,1196.571,1301.399,17071,58.287045,2.4387798,45.461006,170809,6,0,5,178.5366,-91.63116,-267.39896,277.02945,390.97617,0.01572618,2.5940309,10.386121,11898786,4,162,0.1649901,915
4000021000010,53000400000165,4000021000554,4000021000000,53,0.2798018,4000021000011,4000021000555,4000021000009,4000021000010,4000021000970,12032,1304.4113,1112.8291,1241.9276,17071,58.252674,2.4244041,45.559776,170809,6,0,5,165.7186,-79.27431,-265.05774,260.4075,377.75632,0.5960958,2.9197361,9.920041,11906150,4,165,0.15646902,210
