haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
2000285000000,63000200001052,2000285000057,2000285000000,63,0.0,2000285000001,-1,-1,2000285000000,-1,502,48.11071,37.6107,42.94677,9671,32.18787,53.567764,27.888811,125328,3,5,3,-387.93686,636.65533,167.92409,74.3068,144.89117,0.27792603,-0.27303198,-0.13319786,5826958,2,1052,0.052092068,903
2000285000001,62000200001046,2000285000057,2000285000000,62,0.019932542,2000285000002,-1,2000285000000,2000285000001,-1,492,46.30333,37.696762,41.655785,9671,32.256603,53.439125,27.858131,125329,3,5,3,-384.49762,621.50464,161.97186,73.88293,142.97081,0.25779012,-0.31206226,-0.09474549,5826958,2,1046,0.049976476,736
2000285000002,61000200001006,2000285000057,2000285000000,61,0.041403063,2000285000003,-1,2000285000001,2000285000002,-1,501,45.35661,37.18037,41.483654,9671,32.33559,53.310913,27.820707,125329,3,5,3,-378.71942,601.0237,155.76575,73.213745,141.10681,0.37744662,-0.21971597,-0.27934802,5828800,2,1006,0.0479016,868
2000285000003,60000200001035,2000285000057,2000285000000,60,0.064493395,2000285000004,-1,2000285000002,2000285000003,-1,487,44.840214,36.83611,42.000046,9671,32.42687,53.173027,27.793074,125329,3,5,3,-371.29868,579.8767,148.34222,78.62354,149.87936,0.25812754,-0.3165198,-0.022833807,5828818,2,1035,0.04657479,955
2000285000004,59000200001046,2000285000057,2000285000000,59,0.08928783,2000285000005,-1,2000285000003,2000285000004,-1,485,44.92628,36.922173,41.397587,9671,32.51829,53.02921,27.765873,125329,3,5,3,-366.24643,561.99255,142.29344,75.77888,144.30074,0.36963528,-0.27360544,-0.10961888,5828818,2,1046,0.04500064,245
2000285000005,58000200001066,2000285000057,2000285000000,58,0.11588337,2000285000006,-1,2000285000004,2000285000005,-1,474,45.09841,37.52463,41.225456,9671,32.60552,52.889294,27.725998,125329,3,5,3,-354.38794,530.44495,132.3013,75.59605,144.73328,0.3832365,-0.3530582,-0.07007596,5828818,2,1066,0.044724572,134
2000285000006,57000200001080,2000285000057,2000285000000,57,0.14438343,2000285000007,-1,2000285000005,2000285000006,-1,468,43.463165,37.18037,40.795128,9671,32.703587,52.751427,27.691051,125329,3,5,3,-348.92426,515.3102,125.867004,73.63533,140.54971,0.2802075,-0.27749097,-0.10807008,5826958,2,1080,0.047773246,531
2000285000007,56000200001068,2000285000057,2000285000000,56,0.17489761,2000285000008,-1,2000285000006,2000285000007,-1,478,42.60251,36.83611,40.70906,9670,32.803177,52.60718,27.656393,125315,3,5,3,-345.62415,501.68198,121.69296,70.50138,137.62358,0.39088145,-0.38232854,-0.014126879,5826958,2,1068,0.05071041,87
2000285000008,55000200001061,2000285000057,2000285000000,55,0.20754863,2000285000009,-1,2000285000007,2000285000008,-1,467,42.086113,36.40578,40.1066,9670,32.908985,52.459915,27.620415,125315,3,5,3,-334.61908,476.3468,113.138504,75.42841,143.59268,0.33693764,-0.3813184,-0.05656521,5826958,2,1061,0.046056952,662
2000285000009,54000200001053,2000285000057,2000285000000,54,0.24246909,2000285000010,-1,2000285000008,2000285000009,-1,460,41.225456,35.114796,39.76234,9670,33.00888,52.31134,27.57304,125315,3,5,3,-332.4485,464.99063,107.61947,76.644936,145.75505,0.21085955,-0.28125226,0.006318779,5829040,2,1053,0.04233446,132
2000285000010,53000200001093,2000285000057,2000285000000,53,0.2798018,2000285000011,-1,2000285000009,2000285000010,-1,423,40.19267,35.02873,38.213158,9670,33.12401,52.15969,27.546083,125315,3,5,3,-323.88644,445.27118,99.79491,77.39823,141.94623,0.19248983,-0.20446542,-0.13929555,5829040,2,1093,0.039543413,716
2000285000011,52000200001071,2000285000057,2000285000000,52,0.31970343,2000285000012,-1,2000285000010,2000285000011,-1,420,39.93447,34.5984,37.95496,9669,33.232613,52.012592,27.505516,125322,3,5,3,-315.10117,424.13528,91.849144,81.547714,151.83778,0.15705493,-0.23740059,-0.0917829,5829040,2,1071,0.037457168,569
2000285000012,51000200001016,2000285000057,2000285000000,51,0.36234027,2000285000013,-1,2000285000011,2000285000012,-1,438,40.02054,34.25414,37.52463,9669,33.344696,51.85648,27.46892,125322,3,5,3,-309.7736,405.572,83.949135,74.895134,140.70718,0.18627365,-0.25482693,-0.09106531,5828800,2,1016,0.042148776,811
