galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
6000120000000,6000120000166,-1,6000120000000,63000600000433,63000600000433,6000120000000,6000120000001,-1,0,63,0.0,69.54106,27329,15.188575,54.517532,34.13009,205563,1,6,3,26.247313,88.25216,-70.552475,940,69.54106,0.14407663,144.07674,163.71852,0.08696602,2.7954757,1.1556683,7.685078,0.8273726,0.004492572,0.0025938055,0.032976843,0.011735648,0.10130886,0.010093013,0.0,0.0,0.0,0.014743479,0.12033562,-19.846828,-20.699848,-21.402805,-22.00478,-23.523106,-18.632586,-19.498926,-20.214205,-20.820885,-22.324644,-19.829449,-20.685589,-21.391321,-21.996437,-23.520645,7.730732,834
6000120000001,6000120000166,6000120000000,6000120000001,62000600000433,62000600000433,6000120000000,6000120000002,-1,0,62,0.019932542,69.024666,27329,15.18308,54.502743,34.148354,205563,1,6,3,26.483221,88.119514,-69.63143,897,69.024666,0.14299592,144.08218,162.51845,0.08696602,2.7954757,1.1556683,7.5149446,0.91306806,0.004491135,0.0025938055,0.032976843,0.011735648,0.100263454,0.0111384,0.0,0.0,0.0,0.013702485,0.119400054,-19.893862,-20.74321,-21.443712,-22.043367,-23.559473,-18.661371,-19.524824,-20.238127,-20.842855,-22.343904,-19.873602,-20.726587,-21.430326,-22.03364,-23.556604,7.4672966,521
6000120000002,6000120000166,6000120000001,6000120000002,61000600000434,61000600000434,6000120000000,6000120000003,-1,0,61,0.041403063,68.33614,27329,15.178871,54.48185,34.153873,205563,1,6,3,26.69385,88.127426,-69.746086,890,68.33614,0.1417273,144.00198,164.74258,0.08696602,2.7954757,1.1556683,7.301422,1.0131422,0.004489659,0.0025938055,0.032976843,0.011735648,0.09904266,0.01235919,0.0,0.0,0.0,0.013634093,0.11848317,-19.9469,-20.789886,-21.486387,-22.082428,-23.594484,-18.692038,-19.55232,-20.26345,-20.866047,-22.364138,-19.926239,-20.772955,-21.472761,-22.072533,-23.591568,7.1914396,975
6000120000003,6000120000166,6000120000002,6000120000003,60000600000370,60000600000370,6000120000000,6000120000004,-1,0,60,0.064493395,68.16401,27329,15.171892,54.46247,34.1666,205563,1,6,3,26.345692,89.27225,-70.21841,894,68.16401,0.14074099,144.32356,166.74673,0.08696602,2.7954757,1.1556683,7.1587367,1.1303264,0.0044881413,0.0025938055,0.032976843,0.011735648,0.09761314,0.013788706,0.0,0.0,0.0,0.013905111,0.11668498,-20.008474,-20.842009,-21.532545,-22.123432,-23.629232,-18.725084,-19.581972,-20.29078,-20.89115,-22.38625,-19.988365,-20.82557,-21.519333,-22.11385,-23.626411,6.903586,62
6000120000004,6000120000166,6000120000003,6000120000004,59000600000432,59000600000432,6000120000000,6000120000005,-1,0,59,0.08928783,67.38942,27329,15.16624,54.438454,34.186184,205567,1,6,3,26.367458,90.066086,-70.55314,888,67.38942,0.13926025,144.2621,166.10678,0.08696602,2.7954757,1.1556683,6.8935447,1.2679278,0.004486603,0.0025938055,0.032976843,0.011735648,0.09593458,0.015467284,0.0,0.0,0.0,0.013773921,0.11537232,-20.078276,-20.902716,-21.587141,-22.172401,-23.672573,-18.7616,-19.61512,-20.321655,-20.919985,-22.412712,-20.05751,-20.88577,-21.573542,-22.162552,-23.669678,6.604272,288
6000120000005,6000120000166,6000120000004,6000120000005,58000600000448,58000600000448,6000120000000,6000120000006,-1,0,58,0.11588337,67.64762,27329,15.167064,54.412113,34.207695,205567,1,6,3,25.834505,91.28528,-70.51374,889,67.64762,0.1384031,144.98508,163.76653,0.08696602,2.7954757,1.1556683,6.7795334,1.4300227,0.004485036,0.0025938055,0.032976843,0.011735648,0.0939572,0.017444665,0.0,0.0,0.0,0.014837375,0.11253222,-20.16707,-20.979294,-21.655811,-22.233438,-23.726715,-18.801554,-19.651806,-20.35622,-20.952856,-22.444359,-20.148817,-20.964443,-21.643915,-22.224844,-23.724197,6.2940197,691
6000120000006,6000120000166,6000120000005,6000120000006,57000600000443,57000600000443,6000120000000,6000120000007,-1,0,57,0.14438343,67.47549,27329,15.153309,54.391,34.22092,205567,1,6,3,27.207523,90.912895,-69.60879,865,67.47549,0.13715747,145.45654,164.48524,0.08696602,2.7954757,1.1556683,6.563201,1.6216078,0.004483455,0.0025938055,0.032976843,0.011735648,0.09162008,0.019781785,0.0,0.0,0.0,0.012903485,0.10985989,-20.274584,-21.066418,-21.729767,-22.295307,-23.77444,-18.843826,-19.690416,-20.392298,-20.986824,-22.47696,-20.249939,-21.04646,-21.713829,-22.283829,-23.771091,5.97343,299
6000120000007,6000120000166,6000120000006,6000120000007,56000600000445,56000600000445,6000120000000,6000120000008,-1,0,56,0.17489761,67.131226,27329,15.143221,54.363102,34.24113,205567,1,6,3,26.776728,91.778496,-70.415695,860,67.131226,0.13569711,145.8636,162.9897,0.08696602,2.7954757,1.1556683,6.2822723,1.8488165,0.004481885,0.0025938055,0.032976843,0.011735648,0.08884839,0.022553474,0.0,0.0,0.0,0.013856012,0.10699098,-20.423237,-21.183956,-21.830797,-22.38535,-23.863571,-18.888561,-19.730976,-20.429789,-21.021496,-22.509174,-20.401115,-21.16616,-21.816637,-22.375175,-23.860601,5.643203,658
6000120000008,6000120000166,6000120000007,6000120000008,55000600000397,55000600000397,6000120000000,6000120000009,-1,0,55,0.20754863,67.131226,27329,15.136835,54.333023,34.264915,205567,1,6,3,26.839912,91.60972,-69.88572,870,67.131226,0.13436335,146.58577,161.57841,0.08696602,2.7954757,1.1556683,6.0168567,2.1192582,0.004480337,0.0025938055,0.032976843,0.011735648,0.08554932,0.025852554,1.2781137,3.4411369E-6,0.0,0.01499428,0.10330842,-20.666687,-21.354921,-21.96409,-22.491325,-23.932018,-18.935879,-19.773542,-20.468678,-21.0567,-22.540281,-20.64676,-21.339102,-21.951605,-22.482414,-23.929447,5.3040466,849
6000120000009,6000120000129,6000120000008,6000120000009,54000600000441,54000600000441,6000120000000,6000120000010,6000120000130,0,54,0.24246909,67.38942,27329,15.125535,54.306526,34.290497,205567,1,6,3,26.65683,91.83924,-69.72413,851,67.38942,0.13308623,147.5704,162.64001,0.16662857,2.4397664,0.8184289,5.7349243,2.3369708,0.004267477,0.0042585116,0.029169459,0.008389532,0.07972309,0.028296225,0.0,0.0,0.0,0.015273259,0.09808972,-20.75063,-21.393034,-21.972237,-22.481565,-23.911385,-18.620945,-19.453876,-20.145197,-20.729729,-22.209402,-20.721207,-21.369518,-21.953613,-22.46823,-23.907524,4.677927,268
